"Id","CertCode","CertName","AvailableLevels"
1,"11800","電腦軟體應用","乙/丙"
2,"11900","電腦軟體設計","丙"
3,"12000","電腦硬體裝修","乙/丙"
4,"17300","網頁設計","丙"
5,"18200","印前製程","甲/乙/丙"
6,"19100","網頁廣告設計","丙"
7,"03800","網版印刷","乙/丙"
8,"19200","視覺傳達設計","丙"
9,"21100","數位電子","乙/丙"
10,"04000","會計事務","乙/丙"
11,"16000","門市服務","乙/丙"
12,"21600","國貿業務","乙/丙"
13,"18100","商業計算","丙"
14,"07600","中餐烹調","乙/丙"
15,"14000","西餐烹調","丙"
16,"07700","烘焙食品","乙/丙"
17,"20600","飲料調製","乙/丙"
18,"09700","餐旅服務","丙"
19,"21700","食物製備","單一級"
20,"09600","肉品加工","乙/丙"
21,"09200","水產食品加工","乙/丙"
22,"09500","中式麵食加工","乙/丙"
23,"09400","中式米食加工","丙"
24,"02800","室內配線(屋內線路裝修)","甲/乙/丙"
25,"02900","工業配線","甲/乙/丙"
26,"06100","工業電子","丙"
27,"02500","自來水管配管","乙/丙"
28,"04300","用電設備檢驗","丙"
29,"11500","儀表電子","乙/丙"
30,"15600","通訊技術(電信電力)","乙/丙"
31,"17100","變壓器裝修","乙/丙"
32,"20700","自動控制","乙/丙"
33,"11600","電力電子","乙/丙"
34,"00200","車床","乙/丙"
35,"00300","銑床","乙/丙"
36,"00400","模具","乙/丙"
37,"01100","機械製圖","乙/丙"
38,"15200","一般手工電銲","單一級"
39,"17000","半自動電銲","單一級"
40,"01200","板金","乙/丙"
41,"18300","氬氣鎢極電銲","單一級"
42,"18400","雷射切割","單一級"
43,"22300","電腦輔助機械設計製圖","乙/丙"
44,"01300","汽車修護","甲/乙/丙"
45,"01400","重機械修護","乙/丙"
46,"01500","機車修護","乙/丙"
47,"14500","引擎修護","乙/丙"
48,"00700","室內設計","乙"
49,"12500","建築物室內裝修管理","乙"
50,"04100","建築製圖應用","乙/丙"
51,"04200","測量","甲/乙/丙"
52,"06900","建築塗裝","乙/丙"
53,"08400","鋼筋","丙"
54,"08500","模板","丙"
55,"08600","混凝土","丙"
56,"09100","造園景觀","乙/丙"
57,"15100","堆高機操作","單一級"
58,"19500","固定式起重機操作","單一級"
59,"19600","移動式起重機操作","單一級"
60,"15000","重機械操作(鏟裝機/挖掘機)","單一級"
61,"07900","鍋爐操作","甲/乙/丙"
62,"04700","職業安全管理","甲"
63,"04800","職業衛生管理","甲"
64,"10300","職業安全衛生管理","乙"
65,"16100","托育人員(保母)","單一級"
66,"22100","照顧服務員","單一級"
67,"03700","美容","乙/丙"
68,"04900","美髮","乙/丙"
69,"17800","喪禮服務","乙/丙"
70,"15400","按摩","乙/丙"
71,"MOS01","微軟特級專家認證(MOS)","單一級"
72,"ACA01","Adobe多媒體網頁設計認證","單一級"
73,"ERP01","ERP應用師認證","單一級"
74,"PMI01","PMP國際專案管理師","單一級"
75,"AWS01","AWS 雲端架構師認證","單一級"
76,"CISCO1","CCNA 網路工程師認證","單一級"
77,"ORACLE","OCP Java 程式設計師認證","單一級"
78,"118","電腦軟體應用","乙/丙"
79,"119","電腦軟體設計","乙/丙"
80,"120","電腦硬體裝修","乙/丙"
81,"172","網路架設","乙/丙"
82,"173","網頁設計","乙/丙"
83,"030","化學","甲/乙/丙"
84,"050","石油化學","乙"
85,"054","陶瓷-石膏模","乙/丙"
86,"123","化工","乙/丙"
87,"077","烘焙食品","乙/丙"
88,"092","食品檢驗分析","乙/丙"
89,"096","中式麵食加工","乙/丙"
90,"094","肉製品加工","丙"
91,"095","中式米食加工","丙"
92,"132","水產食品加工","丙"
93,"076","中餐烹調","乙/丙"
94,"140","西餐烹調","乙/丙"
95,"","PMP 專案管理師",""
96,"","PMI-ACP 敏捷管理師",""
97,"","CFA 特許財務分析師","Level 1/Level 2/Level 3"
98,"","FRM 財務風險管理師","Part I/Part II"
99,"","CFP 國際認證高級理財規劃顧問",""
100,"","CEH 道德駭客認證",""
101,"","CISSP 資訊系統安全認證",""
102,"","CISM 資訊安全管理認證",""
103,"","ISO 27001 主導稽核員",""
104,"","AWS Certified Cloud Practitioner",""
105,"","AWS Certified Solutions Architect","Associate/Professional"
106,"","Microsoft Azure Fundamentals (AZ-900)",""
107,"","Google Analytics 認證",""
108,"","Google Ads 認證",""
109,"","Scrum Master (CSM)",""
110,"","Professional Scrum Master (PSM)","I/II/III"
111,"","Six Sigma","Green Belt/Black Belt"
112,"","SHRM-CP 人力資源專業認證",""
113,"","多益 TOEIC",""
114,"","TOEFL iBT",""
115,"","IELTS 雅思",""
116,"","日本語能力試驗 JLPT","N1/N2/N3/N4/N5"
117,"22700","民俗調理業腳底按摩","單一級"
